GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
twitter,default,Twitter,25,28,5,3,10,7,5,2,2,1
twitter,default,Main,28,0,4,0,12,0,6,0,4,0
